participant_id,school_id,district_id,study_yr,iqa,lmt,female,race_black,race_asian,race_white,race_hispanic,race_amind,race_pi,born_yr,full_cert,part_cert,none_cert,math_method,math_content,math_advance,grade_level_6,grade_level_7,grade_level_8,math_teach_yrs,c_ishtrack_flg,c_n,c_pctlep,c_pctsped
10104,101,1,1,1.833333,0.64366651,0,0,1,0,0,0,0,1952,1,0,0,1 Course,1 Course,1 Course,1,0,0,9,0,22,18.18182,4.545455
10104,101,1,2,2.666667,-0.074945003,0,0,1,0,0,0,0,1952,1,0,0,1 Course,1 Course,1 Course,1,0,0,10,0,27,25.92593,7.4074068
10104,101,1,3,2.833333,0.30682549,0,0,1,0,0,0,0,1952,1,0,0,1 Course,1 Course,1 Course,1,0,0,11,0,18,17.64706,5.8823528
10104,101,1,4,2.666667,0.59328902,0,0,1,0,0,0,0,1952,1,0,0,1 Course,1 Course,1 Course,1,0,0,12,0,15,35.714291,7.1428571
10105,101,1,1,1.958333,0.30682549,1,0,0,1,0,0,0,1958,1,0,0,4 Courses,4 Courses,5 or More courses,0,1,0,16,1,30,10,6.666667
10105,101,1,2,1.833333,-0.40816501,1,0,0,1,0,0,0,1958,1,0,0,4 Courses,4 Courses,5 or More courses,0,1,0,17,0,27,25.92593,11.11111
10105,101,1,3,1,0.081946,1,0,0,1,0,0,0,1958,1,0,0,4 Courses,4 Courses,5 or More courses,0,1,0,18,0,32,22.580641,12.90323
10106,101,1,1,2.5,0.580576,1,0,0,1,0,1,0,1954,1,0,0,4 Courses,4 Courses,0 Courses,1,1,1,14,0,16,25,6.25
10106,101,1,2,1.666667,0.42219099,1,0,0,1,0,1,0,1954,1,0,0,5 or More courses,4 Courses,0 Courses,1,1,1,15,0,16,37.5,6.25
10106,101,1,3,1,0.91741699,1,0,0,1,0,1,0,1954,1,0,0,5 or More courses,5 or More courses,0 Courses,0,0,1,16,0,25,20,10
10106,109,1,4,2.166667,1.1097255,1,0,0,1,0,1,0,1954,1,0,0,5 or More courses,5 or More courses,0 Courses,1,0,0,17,0,19,16.66667,11.11111
10110,101,1,4,2.333333,0.1287525,1,0,0,1,0,0,0,1987,0,1,0,1 Course,5 or More courses,4 Courses,0,1,0,2,0,24,30.43478,4.347826
10115,101,1,4,3,0.51091599,1,0,0,1,0,0,0,1960,1,0,0,4 Courses,2 Courses,2 Courses,0,1,0,15,0,15,20,0
10201,102,1,1,1.916667,0.88309848,1,0,0,1,0,0,0,1968,1,0,0,5 or More courses,5 or More courses,5 or More courses,0,1,0,17,0,19,0,0
10203,102,1,1,3,1.5013695,1,0,0,1,0,0,0,1966,1,0,0,3 Courses,0 Courses,5 or More courses,0,1,1,16,1,24,4.166667,4.166667
10203,102,1,2,2.833333,1.506842,1,0,0,1,0,0,0,1966,1,0,0,3 Courses,1 Course,5 or More courses,0,1,1,17,1,29,0,3.448276
10203,102,1,3,2.666667,1.8330466,1,0,0,1,0,0,0,1966,1,0,0,4 Courses,1 Course,5 or More courses,0,1,1,18,1,28,0,0
10203,102,1,4,2.083333,1.685297,1,0,0,1,0,0,0,1966,1,0,0,4 Courses,1 Course,5 or More courses,0,1,1,19,0,22,0,0
10302,103,1,3,2.833333,0.91741699,0,0,0,1,0,0,0,1951,1,0,0,4 Courses,5 or More courses,0 Courses,0,1,0,10,0,32,0,9.375
10302,103,1,4,3.416667,1.200107,0,0,0,1,0,0,0,1951,1,0,0,5 or More courses,5 or More courses,0 Courses,0,1,0,11,0,26,0,4
10304,103,1,3,3,-0.47420001,1,0,0,1,0,0,0,1972,1,0,0,1 Course,5 or More courses,1 Course,1,0,0,10,0,29,0,3.448276
10304,103,1,4,2.75,-0.925219,1,0,0,1,0,0,0,1972,1,0,0,2 Courses,5 or More courses,0 Courses,1,0,0,11,0,30,3.333333,6.666667
10305,103,1,1,2.166667,1.0598381,0,0,0,1,0,0,0,1959,1,0,0,5 or More courses,5 or More courses,2 Courses,0,0,1,5,1,32,0,0
10305,103,1,2,2.333333,1.239655,0,0,0,1,0,0,0,1959,1,0,0,5 or More courses,5 or More courses,2 Courses,0,0,1,6,0,22,4.545455,0
10307,103,1,3,2.25,1.685297,0,0,0,1,0,0,0,1951,1,0,0,4 Courses,5 or More courses,1 Course,0,0,1,20,1,25,0,0
10307,103,1,4,2.5,1.6627229,0,0,0,1,0,0,0,1951,1,0,0,4 Courses,1 Course,1 Course,0,0,1,21,0,29,0,3.448276
10404,104,1,2,3.333333,1.081342,0,0,0,1,0,0,0,1964,1,0,0,5 or More courses,3 Courses,5 or More courses,0,1,1,22,0,23,60.86956,8.695652
10404,104,1,3,3.583333,1.692057,0,0,0,1,0,0,0,1964,1,0,0,5 or More courses,3 Courses,5 or More courses,1,0,1,23,0,29,27.58621,17.241381
10404,104,1,4,3.083333,2.013027,0,0,0,1,0,0,0,1964,1,0,0,5 or More courses,3 Courses,5 or More courses,1,1,1,24,0,27,48,24
10405,104,1,3,3.416667,1.506842,1,0,0,1,0,0,0,1975,1,0,0,5 or More courses,5 or More courses,5 or More courses,0,0,1,14,1,10,50,10
10503,105,1,2,2.416667,-1.197435,1,0,0,1,0,0,0,1963,1,0,0,1 Course,1 Course,0 Courses,0,0,1,12,0,13,23.07692,7.692307
